Date,City,Cause of Death
4/26/03,Grand Xcaret Hotel Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
4/26/03,Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
5/1/03,Puerto Morelos -  Quintana Roo -  Mexico,Drowning
5/3/03,Avenida Del Mar -  Mazatlan -  Mexico,Drowning
5/4/03,Ixtlan Del Rio -  Nayarit -  Mexico,Homicide
5/8/03,Tijuana -  Baja California Norte -  Mexico,Suicide
5/9/03,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Auto
5/9/03,Yautepec -  Morelos -  Mexico,Homicide
5/14/03,Tijuana -  Baja California Norte -  Mexico,Homicide
5/16/03,Ciudad Juarez Chihuahua -  Mexico,Homicide
5/16/03,Ciudad Juarez -  Chihuahua -  Mexico,Homicide
5/16/03,Tijuana -  Baja California Norte -  Mexico,Suicide
5/17/03,Ciudad Juarez -  Chihuahua -  Mexico,Other Accident
5/24/03,Benito Juarez -  Quintana Roo -  Mexico,Homicide
5/24/03,Mazatlan -  Sinaloa -  Mexico,Homicide
5/25/03,Marina San Carlos -  Guaymas -  Sonora -  Mexico,Maritime Accident
5/25/03,Mazatlan -  Sinaloa -  Mexico,Suicide
6/1/03,Playa Punta Piedra -  Ensenada -  Baja California Norte -  Mexico,Drowning
6/1/03,Playa Punta Piedra -  Ensenada -  Baja California Norte -  Mexico,Drowning
6/1/03,Playa Punta Piedra -  Ensenada -  Baja California Norte -  Mexico,Drowning
6/3/03,Tijuana -  Baja California Norte -  Mexico,Suicide
6/6/03,Mexico City -  Distrito Federal -  Mexico,Veh. Accident-Auto
6/9/03,Uruapan -  Michoacan -  Mexico,Other Accident
6/10/03,Cancun -  Quintana Roo -  Mexico,Suicide
6/10/03,Cancun -  Quintana Roo -  Mexico,Other Accident
6/11/03,San Jose Del Cabo -  Baja California Sur -  Mexico,Drowning
6/17/03,Distrito Federal -  Mexico,Homicide
6/17/03,Off Road To Majahua -  Troncones -  Guerrero -  Mexico,Veh. Accident-Auto
6/18/03,Monterrey-laredo Highway -  Km 166 -  Vallecillo -  Nuevo Leon -  Mexico,Veh. Accident-Auto
6/21/03,Colonia Alamo Industrial -  Guadalajara -  Jalisco -  Mexico,Homicide
6/22/03,Calle 60 Por 57 -  Merida -  Yucatan -  Mexico,Drowning
6/25/03,Cancun -  Quintana Roo -  Mexico,Drowning
6/25/03,Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
6/25/03,Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
6/29/03,Jojutla -  Morelos -  Mexico,Drowning
6/30/03,Higway 57 -  Km 26+500 -  Arteaga -  Coahuila -  Mexico,Veh. Accident-Auto
6/30/03,San Luis De La Paz Highway -  Guanajuato -  Mexico,Veh. Accident-Auto
7/1/03,Km.40 Freeway Guadalajara-barra De Navidad -  Jalisco -  Mexico,Veh. Accident-Auto
7/3/03,Tijuana -  Baja California Norte -  Mexico,Homicide
7/4/03,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
7/5/03,Cancun-playa Del Carmen -  Highway Km. 294 X 300 -  Quintana Roo -  Mexico,Veh. Accident-Auto
7/5/03,Delicias Municipal Police Detention Facility -  Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
7/5/03,Km 91.5 Highway Guadalajara-colima -  Jalisco -  Mexico,Veh. Accident-Auto
7/6/03,Rosarito -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
7/6/03,San Quintin -  Ensenada -  Baja California Norte -  Mexico,Veh. Accident-Auto
7/7/03,Highway 49 -  Salinas De Hidalgo -  San Luis Potosi -  Mexico,Veh. Accident-Auto
7/7/03,Highway 49 -  Salinas De Hidalgo -  San Luis Potosi -  Mexico,Veh. Accident-Auto
7/8/03,Chen Rio Beach -  Cozumel -  Quintana Roo -  Mexico,Drowning
7/9/03,San Nicolas De Los Garza -  Nuevo Leon -  Mexico,Homicide
7/11/03,Loreto -  Baja California Sur -  Mexico,Veh. Accident-Auto
7/12/03,Patzcuaro-morelia Highway -  Michoacan -  Mexico,Veh. Accident-Auto
7/13/03,Isla Mujeres -  Quintana Roo -  Mexico,Homicide
7/14/03,Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
7/17/03,Guadalajara -  Jalisco -  Mexico,Suicide
7/17/03,Sonoyta -  Sonora -  Mexico,Suicide
7/18/03,Ecatepec -  Estado De Mexico -  Mexico,Veh. Accident-Auto
7/18/03,Highway 57 -  Los Chorros -  Galena -  Nuevo Leon -  Mexico,Veh. Accident-Auto
7/20/03,La Noria -  Acatlan -  Puebla -  Mexico,Homicide
7/20/03,Tijuana -  Baja California Norte -  Mexico,Homicide
7/21/03,Ciudad Juarez -  Chihuahua -  Mexico,Veh. Accident-Auto
7/21/03,Monterrey -  Nuevo Leon -  Mexico,Veh. Accident-Auto
7/21/03,Reynosa-monterrey Highway -  Km 437 -  Cadereyta Jimenez -  Nuevo Leon -  Mexico,Veh. Accident-Auto
7/25/03,Playa Del Carmen -  Quintana Roo -  Mexico,Drowning
7/28/03,Mexico-san Luis De La Paz Federal Highway -  Guanajuato -  Mexico,Veh. Accident-Auto
8/1/03,Janos-agua Prieta Highway -  Mexico,Veh. Accident-Auto
8/1/03,Janos-agua Prieta Highway -  Mexico,Veh. Accident-Auto
8/2/03,Francisco I. Madero Dam In Rosales -  Chihuahua -  Mexico,Drowning
8/2/03,Tijuana -  Baja Califoenia Norte -  Mexico,Veh. Accident-Auto
8/2/03,Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Auto
8/3/03,Km 120 -  Monterrey-laredo Highway -  Vallecillo -  Nuevo Leon -  Mexico,Veh. Accident-Auto
8/5/03,Juarez-chihuahua Highway -  Chihuahua -  Mexico,Veh. Accident-Auto
8/5/03,Juarez-chihuahua Highway -  Chihuahua -  Mexico,Veh. Accident-Auto
8/6/03,Riviera Maya -  Quintana Roo -  Mexico,Other Accident
8/6/03,San Nicolas De Los Garza -  Nuevo Leon -  Mexico,Veh. Accident-Auto
8/10/03,Highway Guaymas-hermosillo Km 429 -  Hermosillo -  Mexico,Veh. Accident-Auto
8/16/03,Tijuana -  Baja California Norte -  Mexico,Natural Disaster
8/18/03,Tijuana -  Baja California Norte -  Mexico,Homicide
8/20/03,Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
8/25/03,Tijuana -  Baja California Norte -  Mexico,Homicide
8/26/03,Playas De Tijuana -  Tijuana -  Baja California Norte -  Mexico,Homicide
8/30/03,Acapulco -  Guerrero -  Mexico,Veh. Accident-Auto
9/7/03,Col. San Luis -  Mexico,Homicide
9/7/03,Uruapan -  Michoacan -  Mexico,Homicide
9/11/03,Tijuana -  Baja California Norte -  Mexico,Homicide
9/13/03,General Teran -  Nuevo Leon -  Mexico,Drowning
9/14/03,Puerto Vallarta -  Jalisco -  Mexico,Homicide
9/20/03,Sabinas Hidalgo -  Nuevo Leon -  Mexico,Veh. Accident-Auto
9/20/03,Sabinas Hidalgo -  Nuevo Leon -  Mexico,Veh. Accident-Auto
9/26/03,Manzanillo -  Colima -  Mexico,Other Accident
9/27/03,Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Motorcycle
9/29/03,Playa Santa Maria -  Cabo San Lucas -  Baja Claifornia Sur -  Mexico,Drowning
9/29/03,Playas De Rosarito -  Baja California Norte -  Mexico,Drug-Related
9/30/03,Los Cabos -  Baja California Sur -  Mexico,Drowning
10/4/03,Guadalajara -  Jalisco -  Mexico,Veh. Accident-Pedestrian
10/5/03,Ciudad Juarez -  Chihuahua -  Mexico,Drug-Related
10/19/03,Huasca De Ocampo -  Hidalgo -  Mexico,Homicide
10/21/03,Guadalajara -  Jalisco -  Mexico,Other Accident
10/26/03,Frente De Bahia De Los Angeles -  San Quintin -  Baja California Norte -  Mexico,Drowning
10/26/03,Mulege -  Baja California Sur -  Mexico,Drowning
10/26/03,Tortuga Beach -  Los Cabos -  Baja California Sur -  Mexico,Drowning
10/28/03,Tecate -  Baja California Norte -  Mexico,Homicide
10/29/03,Puerto Penasco -  Sonora -  Mexico,Drowning
11/2/03,Rio Bravo -  Tamaulipas -  Mexico,Homicide
11/9/03,Playa La Lobera -  Isla Espiritu Santo -  La Paz -  Baja California Sur -  Mexico,Drowning
11/13/03,Zapopan -  Jalisco -  Mexico,Suicide
11/15/03,Ciudad Victoria -  Tamaulipas -  Mexico,Veh. Accident-Auto
11/18/03,Tijuana -  Baja California Norte -  Mexico,Veh. Accident-Auto
11/19/03,Aquismon -  San Luis Potosi -  Mexico,Other Accident
11/21/03,Ojos Negros -  Baja Califronia Norte -  Mexico,Veh. Accident-Motorcycle
11/25/03,Tijuana -  Baja California Norte -  Mexico,Homicide
