Date,City,Cause of Death
8/18/09,East Of Pine Creek - Northern Territory -  Australia,Air Accident
10/8/09,Prospect -  Tasmania Australia,Suicide
12/2/09,Gold Coast -  Queensland -  Australia,Suicide
12/4/09,Ulverstone - Tasmania -  Australia,Veh. Accid-Auto
12/16/09,Collingwood - Victoria -  Australia,Suicide
1/22/10,Murrumbateman -  New South Wales -  Australia,Homicide
2/12/10,Murrumbateman -  New South Wales -  Australia,Veh. Accid-Pedestr.
2/22/10,New South Wales,Suicide
3/21/10,Perth -  Australia,Suicide
3/25/10,Glen Forrest -  Western Australia,Veh. Accid-Auto
4/4/10,New South Wales -  Australia,Disaster
4/19/10,Coogee -  New South Wales -  Australia - ,Suicide
5/6/10,Newcastle -  New South Wales -  Australia,Veh. Accid-Train
5/12/10,Camperdown - New South Wales -  Australia,Veh. Accid-Bus
5/13/10,New South Wales -  Australia,Drowning
7/30/10,Queensland -  Australia,Other Accident
8/1/10, Badgingarra -  Australia,Veh. Accid-Auto
8/27/10,Wallaroo -  South Austalia,Veh. Accid-Auto
10/20/10,Queensland -  Australia,Veh. Accid-Auto
11/3/10,Australia,Suicide
12/10/10,Queensland -  Australia,Drowning
4/5/11,Queensland -  Australia,Other Accident
4/21/11,Marla -  South Australia,Veh. Accid-Auto
7/5/11,New South Wales -  Australia,Suicide
8/4/11,Subiaco Perth -  Australia,Homicide
10/22/11,Armstrong Island -  Australia,Maritime Accident
11/9/11,Victoria -  Australia,Suicide
11/13/11,Kalbarri -  Western Australia Australia,Veh. Accid-Auto
1/12/12,Randwick -  New South Wales -  Australia,Suicide
2/4/12,Nowra -  New South Wales -  Australia,Air Accident
2/9/12,Agincourt Reef -  Australia,Drowning
4/4/12,Adelaide -  South Australia,Drug-Related
8/18/12,Georges Hall -  New South Wales -  Australia,Drug-Related
8/22/12,Jindalee -  Queensland -  Australia,Other Accident
8/26/12,Bonnie Doon -  Victoria -  Australia,Vehicle Accident - Auto
12/8/12,Margaret River -  Western Australia -  Australia,Drowning
1/11/13,Perth -  Australia,Veh. Accid-Pedestr.
1/21/13,Tasmania -  Australia,Veh. Accid-Auto
2/23/13,New South Wales -  Australia,Homicide
3/1/13,New South Wales -  Australia,Drowning
3/16/13,Queensland -  Australia,Other Accident
3/16/13,Sydney Harbor -  Australia,Suicide
4/20/13,New South Wales -  Australia,Suicide
4/26/13,Victoria -  Australia,Veh. Accid-Pedestr.
8/26/13,Haberfield -  New South Wales -  Australia,Veh. Accid-Motorcy.
10/7/13,Kurnell -  New South Wales -  Australia,Drowning
10/20/13,Frankston -  Victoria -  Australia,Suicide
10/26/13,Western Australia,Drowning
12/14/13,Euroa -  Victoria -  Australia,Other Accident
12/22/13,Hay Point -  Australia,Suicide
2/10/14,Queensland,Suicide
3/8/14,Burleigh Heads -  Queensland,Other Accident
5/20/14,Goulburn -  New South Wales,Drug-Related
6/10/14,Queensland,Veh. Accid-Motorcy.
6/30/14,New South Wales,Suicide
7/19/14,Pheasants Nest -  New South Wales,Suicide
8/3/14,Brewarrina - New South Wales,Veh. Accid-Motorcy.
8/9/14,Muswellbrook - New South Wales,Suicide
9/9/14,Wamberal -  New South Wales,Suicide
9/14/14,Paddington - New South Wales,Suicide
9/24/14, Queensland,Suicide
10/1/14, Ingleburn -  New South Wales,Suicide
10/19/14,Sydney,Suicide
12/25/14,Queensland,Drowning
12/26/14,Darling Point,Other Accident
1/13/15,Gosnells -  Perth,Suicide
